_id,LineCode,StationCode,CompanyName,LineName,StationName,Note
104,c32,0,千葉中央バス,NULL,共通,NULL
105,c37,0,東京ベイシティ交通,NULL,共通,NULL
106,c39,0,千葉海浜交通,NULL,共通,NULL
107,c3a,0,千葉内陸バス,NULL,共通,NULL
108,c3b,0,ちばレインボーバス,NULL,共通,NULL
109,c3c,0,ちばフラワーバス,NULL,共通,NULL
110,c3d,0,ちばグリーンバス,NULL,共通,NULL
111,c3e,0,ちばシティバス,NULL,共通,NULL
112,c42,0,平和交通,NULL,共通,NULL
113,c43,0,あすか交通,NULL,共通,旧 団地交通
114,c44,0,京成トランジットバス,NULL,共通,NULL
115,c48,0,市川交通自動車,NULL,共通,NULL
116,c4a,0,東京都交通局,NULL,共通,NULL
117,c4b,0,東急バス,NULL,共通,NULL
118,c4c,0,京王バス,NULL,共通,NULL
119,c4d,0,関東バス,NULL,共通,NULL
120,c4e,0,西武バス,NULL,共通,NULL
121,c4f,0,国際興業バス,NULL,共通,NULL
122,c50,0,小田急バス,NULL,共通,NULL
123,c51,0,東武バス,NULL,共通,NULL
124,c52,0,立川バス,NULL,共通,NULL
125,c53,0,西東京バス,NULL,共通,NULL
126,c57,0,フジエクスプレス,NULL,共通,NULL
127,c5a,0,小田急箱根高速バス,NULL,共通,NULL
128,c5b,0,ジェイアールバス関東,NULL,共通,NULL
129,c5c,0,日立自動車交通,NULL,共通,NULL
130,c62,0,多摩バス,NULL,共通,NULL
131,c65,0,京成タウンバス,NULL,共通,NULL
132,c69,0,京浜急行バス,NULL,共通,NULL
133,c6a,0,横浜市交通局,NULL,共通,NULL
134,c6b,0,神奈川中央交通,NULL,共通,NULL
135,c6c,0,川崎鶴見臨港バス,NULL,共通,NULL
136,c6d,0,箱根登山バス,NULL,共通,NULL
137,c6e,0,伊豆箱根バス,NULL,共通,NULL
138,c6f,0,江ノ電バス,NULL,共通,NULL
139,c70,0,川崎市バス,NULL,共通,NULL
140,c71,0,相鉄バス,NULL,共通,NULL
141,c72,0,富士急湘南バス,NULL,共通,NULL
142,c74,0,江ノ電バス藤沢,NULL,共通,NULL
143,c7c,0,相鉄バス,NULL,共通,NULL
144,c7e,0,山梨交通,NULL,共通,NULL
145,c80,0,富士急行,NULL,共通,NULL
146,c81,0,富士急山梨バス,NULL,共通,NULL
147,c82,0,富士急平和観光バス,NULL,共通,高速バス
148,c83,0,富士急シティバス,NULL,共通,NULL
149,c84,0,富士急静岡バス,NULL,共通,NULL
150,c85,0,東京急行電鉄,世田谷,世田谷線共通,NULL
151,c89,0,京成バスシステム,NULL,共通,NULL
152,d18,15,しずてつジャストライン,NULL,新静岡バスセンター,窓口
153,d18,2715,しずてつジャストライン,NULL,新静岡,NULL
154,d18,271a,しずてつジャストライン,NULL,静岡駅前,美和大谷線
155,d18,271f,しずてつジャストライン,NULL,県庁・静岡市役所葵区役所前,NULL
156,d18,2729,しずてつジャストライン,NULL,八千代町,NULL
157,d18,2a62,しずてつジャストライン,NULL,市民文化会館入口,NULL
158,d18,2ada,しずてつジャストライン,NULL,沓ノ谷三丁目,NULL
159,d18,2b77,しずてつジャストライン,NULL,瀬名川西,NULL
160,d18,2c60,しずてつジャストライン,NULL,静岡IC入口,NULL
161,d18,2c6f,しずてつジャストライン,NULL,中島,NULL
162,d18,2d46,しずてつジャストライン,NULL,草薙駅前,NULL
163,d18,2ebd,しずてつジャストライン,NULL,静大前,美和大谷線
164,d18,2f26,しずてつジャストライン,NULL,南郵便局ツインメッセ,県立病院高松線
165,d18,4e66,しずてつジャストライン,NULL,興津中町,NULL
166,e0d,e0d,コトデンバス,NULL,北加賀屋4丁目,NULL
167,e16,a2f,京阪バス,NULL,頼政塚前,NULL
168,e16,a33,京阪バス,NULL,亀岡駅前,NULL
169,e16,e34,京阪京都交通,NULL,本町西,亀岡市コミュニティバス
170,e16,2a1e,京阪バス,NULL,JR大住駅,NULL
171,e16,3204,京都交通,NULL,星の坂(1)番,降車専用停留所
172,e16,3213,京阪バス,NULL,京大桂キャンパス,NULL
173,e16,3215,京阪バス,NULL,京都駅前,NULL
174,e16,3219,京阪バス,NULL,桂駅西口,NULL
175,e16,321d,京阪バス,NULL,桂坂口,NULL
176,e16,3224,京阪バス,NULL,芸大前,NULL
177,e16,3300,京阪バス,NULL,枚方市駅,NULL
178,e16,3c00,京阪バス,NULL,阪急高槻,NULL
179,e16,3c0a,京阪バス,NULL,JR高槻駅,NULL
180,e16,3c33,京阪バス,NULL,松原,高槻営業所1系統
181,e16,3c37,京阪バス,NULL,辻子,NULL
182,e16,4715,京阪バス,NULL,西大路四条,NULL
183,e16,5a33,京阪京都交通,NULL,亀岡駅前,亀岡市コミュニティバス
184,e1f,1,大阪市交通局,NULL,済生会病院前,NULL
185,e1f,2,大阪市交通局,NULL,中津六丁目,NULL
186,e1f,3,大阪市交通局,NULL,十三,NULL
187,e1f,4,大阪市交通局,NULL,淀川警察署前,NULL
188,e1f,5,大阪市交通局,NULL,野中南二丁目,NULL
189,e1f,6,大阪市交通局,NULL,野中北一丁目,NULL
190,e1f,7,大阪市交通局,NULL,中島公園,NULL
191,e1f,8,大阪市交通局,NULL,中島西,NULL
192,e1f,9,大阪市交通局,NULL,東淀川警察署,赤バス西淡路～区役所ルート
193,e1f,a,大阪市交通局,NULL,新高野中北一丁目,にいたかのなかきたいっちょうめ
194,e1f,b,大阪市交通局,NULL,玉造二丁目,NULL
195,e1f,c,大阪市交通局,NULL,新高野中北二丁目,NULL
196,e1f,d,大阪市交通局,NULL,三津屋中一丁目,NULL
197,e1f,e,大阪市交通局,NULL,三津屋小学校,NULL
198,e1f,f,大阪市交通局,NULL,三津屋公園,NULL
199,e1f,10,大阪市交通局,NULL,三津屋北三丁目,赤バス区役所～加島駅ルート
200,e1f,11,大阪市交通局,NULL,神崎川駅,赤バス区役所～加島駅ルート
201,e1f,13,大阪市交通局,NULL,城東区保健福祉センター分館,赤バス城東ループ
202,e1f,14,大阪市交通局,NULL,元町二丁目,赤バス浪速ループ
203,e1f,15,大阪市交通局,NULL,元町三丁目,赤バス浪速ループ
204,e1f,16,大阪市交通局,NULL,浪速区役所,赤バス浪速ループ
205,e1f,17,大阪市交通局,NULL,木津市場,赤バス浪速ループ
206,e1f,18,大阪市交通局,NULL,今宮戎駅,赤バス浪速ループ
207,e1f,19,大阪市交通局,NULL,浪速運動広場,赤バス浪速西ループ
208,e1f,1a,大阪市交通局,NULL,浪速生野病院,赤バス浪速西ループ
209,e1f,1b,大阪市交通局,NULL,十三元今里,NULL
210,e1f,1c,大阪市交通局,NULL,田川通,NULL
211,e1f,1d,大阪市交通局,NULL,三津屋,NULL
212,e1f,1e,大阪市交通局,NULL,加島東,NULL
213,e1f,1f,大阪市交通局,NULL,加島,NULL
214,e1f,20,大阪市交通局,NULL,加島西,NULL
215,e1f,21,大阪市交通局,NULL,神崎橋,NULL
216,e1f,22,大阪市交通局,NULL,地下鉄中津,NULL
217,e1f,23,大阪市交通局,NULL,豊崎北,NULL
218,e1f,25,大阪市交通局,NULL,豊崎神社前,NULL
219,e1f,26,大阪市交通局,NULL,本庄西二丁目,NULL
220,e1f,27,大阪市交通局,NULL,天神橋八丁目,NULL
221,e1f,28,大阪市交通局,NULL,長柄西,NULL
222,e1f,29,大阪市交通局,NULL,長柄東,NULL
223,e1f,2a,大阪市交通局,NULL,毛馬橋,NULL
224,e1f,2b,大阪市交通局,NULL,毛馬町二丁目,NULL
225,e1f,2c,大阪市交通局,NULL,大東町,NULL
226,e1f,2d,大阪市交通局,NULL,淀川区役所前,NULL
227,e1f,2e,大阪市交通局,NULL,十三東,NULL
228,e1f,2f,大阪市交通局,NULL,木川西二丁目,NULL
229,e1f,30,大阪市交通局,NULL,木川東二丁目,NULL
230,e1f,31,大阪市交通局,NULL,地下鉄西中島南方,NULL
231,e1f,32,大阪市交通局,NULL,西中島一丁目,NULL
232,e1f,33,大阪市交通局,NULL,長柄橋北詰,NULL
233,e1f,34,大阪市交通局,NULL,長柄橋南詰,NULL
234,e1f,35,大阪市交通局,NULL,柴島,くにじま
235,e1f,36,大阪市交通局,NULL,東淡路一丁目,NULL
236,e1f,37,大阪市交通局,NULL,菅原,NULL
237,e1f,38,大阪市交通局,NULL,下新庄,NULL
238,e1f,39,大阪市交通局,NULL,上新庄,NULL
239,e1f,3a,大阪市交通局,NULL,上新庄駅北口,NULL
240,e1f,3b,大阪市交通局,NULL,瑞光二丁目,NULL
241,e1f,3c,大阪市交通局,NULL,大阪経大前,NULL
242,e1f,3d,大阪市交通局,NULL,瑞光四丁目,NULL
243,e1f,3e,大阪市交通局,NULL,江口君堂前,NULL
244,e1f,3f,大阪市交通局,NULL,江口橋,NULL
245,e1f,40,大阪市交通局,NULL,井高野南口,NULL
246,e1f,41,大阪市交通局,NULL,北江口住宅前,NULL
247,e1f,42,大阪市交通局,NULL,北江口,NULL
